jp,text,alt
ファイター,Боец,
ダークファイター,Тёмный боец,
ウォリアー,Воин,
ソルジャー,Солдат,
ナイト,Рыцарь,
シルバーナイト,Серебряный рыцарь,
ブレイブナイト,Отважный рыцарь,
ナイトマスター,Мастер-рыцарь,
ロイヤルガード,Королевский гвардеец,
ロイヤルランサー,Королевский копейщик,
ヘビーランサー,Тяжёлый копейщик,
ランサー,Копейщик,
ドラグーン,Драгун,
パラディン,Паладин,
ダークパラディン,Тёмный паладин,
ジェネラル,Генерал,
マーシャル,Маршал,
エンペラー,Император,
グラディエーター,Гладиатор,
バトルマスター,Мастер боя,
ソードマスター,Мастер меча,
ハイマスター,Верховный мастер,
ホークナイト,Соколиный рыцарь,
ホークロード,Соколиный лорд,
スカイアーチャー,Небесный лучник,
ペガサスナイト,Рыцарь Пегаса,
ペガサスロード,Лорд Пегаса,
サーペンナイト,Змеиный рыцарь,
サーペンマスター,Мастер змей,
サーペンロード,Лорд змей,
ドラゴンナイト,Драконий рыцарь,
ドラゴンマスター,Мастер драконов,
ドラゴンロード,Лорд драконов,
デスロード,Лорд смерти,
ロードリザード,Лорд ящеров,
マーマンロード,Лорд водяных,
キャプテン,Капитан,
パイレーツ,Пират,
ウォーロック,Колдун,
女,Женщина,
男,Мужчина,
アルラウネ,Альрауна,
シーフ,Вор,
ローグ,Плут,
アサシン,Ассасин,
レンジャー,Следопыт,
スナイパー,Снайпер,
バリスタ,Баллиста,
クレリック,Клирик,
プリースト,Жрец,
ハイプリースト,Верховный жрец,
セイント,Святой,
ダークセイント,Тёмный святой,
エクソシスト,Экзорцист,
モンク,Монах,
ハーミット,Отшельник,
シャーマン,Шаман,
メイジ,Маг,
ウィザード,Волшебник,
ダークウィザード,Тёмный волшебник,
アークメイジ,Архимаг,
ソーサラー,Чародей,
サモナー,Призыватель,
ダークサモナー,Тёмный призыватель,
ウィッチ,Ведьма,
ヴァルキリー,Валькирия,
セラフィム,Серафим,
アークエンジェル,Архангел,
プリンセス,Принцесса,
ダークプリンセス,Тёмная принцесса,
クイーン,Королева,
メイド,Горничная,
メイド長,Старшая горничная,
シビリアン,Мирный житель,
アルバイト,Работник,
ビルダー,Строитель,
クルセイダー,Крестоносец,
エキュイユ,Оруженосец,
ダークエキュイユ,Тёмный оруженосец,
ファランクス,Фаланга,
グレナディーア,Гренадер,
エルフ,Эльф,
ハイエルフ,Высший эльф,
ダークエルフ,Тёмный эльф,
ダークガード,Тёмный страж,
ダークマスター,Тёмный мастер,
ヒーラー,Целитель,
ダークヒーラー,Тёмный целитель,
ゾンビファイター,Зомби-боец,
マスターゾンビ,Мастер-зомби,
バンディッド,Бандит,
ウルフマン,Волколак,
ワーベア,Оборотень-медведь,
リザードマン,Ящеролюд,
マーマン,Водяной,
ダークマーマン,Тёмный водяной,
ニクシー,Никса,
ダークニクシー,Тёмная никса,
ケットシー,Кат-ши,
ピクシー,Пикси,
グレムリン,Гремлин,
ガーゴイル,Горгулья,
ハーピー,Гарпия,
ラミア,Ламия,
メデューサ,Медуза,
スキュラ,Сцилла,
スフィンクス,Сфинкс,
ケンタウロス,Кентавр,
ミノタウロス,Минотавр,
オーガー,Огр,
トロール,Тролль,
ジャイアント,Гигант,
ストーンゴーレム,Каменный голем,
ブロンズゴーレム,Бронзовый голем,
アイアンゴーレム,Железный голем,
ミスリルゴーレム,Мифриловый голем,
マッドゴーレム,Глиняный голем,
ボーンゴーレム,Костяной голем,
リビングアーマー,Живые доспехи,
スケルトン,Скелет,
スペクター,Спектр,
シェード,Тень,
レイス,Призрак,
ホーント,Привидение,
ナイトメア,Кошмар,
バンパイア,Вампир,
リリス,Лилит,
サキュバス,Суккуб,
インキュバス,Инкуб,
レッサーデーモン,Малый демон,
アークデーモン,Архидемон,
ベールゼブブ,Вельзевул,
ケルベロス,Цербер,
オルトロス,Ортр,
フェンリル,Фенрир,
スレイプニル,Слейпнир,
ヒポグリフ,Гиппогриф,
ワイバーン,Виверна,
ファイアドラゴン,Огненный дракон,
ファイアー,Огонь,
スノードラゴン,Снежный дракон,
ホーリードラゴン,Святой дракон,
カオスドラゴン,Дракон хаоса,
グレートドラゴン,Великий дракон,
シーサーペント,Морской змей,
シーウォーム,Морской червь,
クロウラー,Ползун,
スパイダー,Паук,
スコーピオン,Скорпион,
ポイズントード,Ядовитая жаба,
コカトリス,Кокатрис,
キラータイガー,Тигр-убийца,
サーベルタイガー,Саблезубый тигр,
フェニックス,Феникс,
ジン,Джинн,
ゲル,Слизь,
ブラックゲル,Чёрная слизь,
ゲルギャザー,Сборщик слизи,
スーパーギャザー,Суперсборщик,
グロブ,Гроув,
ラルヴァ,Личинка,
レギオン,Легион,
ガーディアン,Страж,
アバタール,Аватар,
トランスポーター,Транспортёр,
モンスター,Монстр,
クリムゾンナイツ,Кримзонианские рыцари,К. рыцари
Cナイツ,Кримзонианские рыцари,К. рыцари
オロチ,Ороти,
ハーピー,Гарпия,
ナイフ,Нож,
クリス,Крис,
マインゴーシュ,Мэн-гош,
ショートボウ,Короткий лук,
ロングボウ,Длинный лук,
エルブン・ボウ,Эльфийский лук,
長距離弓,Дальнобойный лук,
ロングソード,Длинный меч,
グレートソード,Большой меч,
ミスリルソード,Мифриловый меч,
メサイヤンソード,Меч Мессии,
アイスブレード,Ледяной клинок,
エクスカリバー,Экскалибур,
グラディウス,Гладиус,
グラム,Грам,
バトルアックス,Боевой топор,
デビルアックス,Дьявольский топор,
ルーンアックス,Рунный топор,
ミスリルアックス,Мифриловый топор,
手斧,Топорик,
フレイル,Кистень,
モーニングスター,Моргенштерн,
パイク,Пика,
ランス,Копьё,
フレイムランス,Огненное копьё,
ブラッディランス,Кровавое копьё,
ミスリルランス,Мифриловое копьё,
竜騎士の騎槍,Пика драгуна,
フォースハンマー,Силовой молот,
ミョッルニル,Мьёльнир,
スタッフ,Посох,
ワンド,Жезл,
ウィザードロッド,Жезл волшебника,
クリスタルロッド,Хрустальный жезл,
奇跡の杖,Посох чудес,
生命の杖,Посох жизни,
灼熱の杖,Пылающий посох,
竜王の杖,Посох дракона,
こん棒,Дубина,
ダグザのこん棒,Дубина Дагды,
フルンチング,Хрунтинг,
ハディング,Хаддинг,
イェルムンガルド,Ёрмунганд,
エストール,Эстор,
ゴタール,Готал,
ズフタフ,Зухтав,
トール,Тор,
グングニル,Гунгнир,
雷神剣,Меч Райдзина,
風斬りの短剣,Кинжал ветра,
強襲型魔光剣,Световой меч,
鉄アレイ,Гантель,
炸裂弾,Разрывная бомба,
ハードレザー,Жёсткая кожа,
チェインメイル,Кольчуга,
ブレストプレート,Кираса,
プレートアーマー,Латный доспех,
ナイトプレート,Рыцарские латы,
ミスリルアーマー,Мифриловый доспех,
オーラプレート,Латы ауры,
アサルトスーツ,Штурмовой костюм,
ミラージュローブ,Миражная мантия,
ローブ,Мантия,
エプロンドレス,Платье с фартуком,
マジカルビキニ,Волшебное бикини,
布の服,Тканевая одежда,
大地の鎧,Доспех земли,
アエネアスの鎧,Доспех Энея,
闇の法衣,Тёмное облачение,
女神のドレス,Платье богини,
天女の羽衣,Одеяние небожительницы,
グリーブ,Поножи,
スピードブーツ,Сапоги скорости,
レッグガーター,Ножная подвязка,
ドラゴンスケイル,Драконья чешуя,
アミュレット,Амулет,
タリスマン,Талисман,
ネックレス,Ожерелье,
クロス,Крест,
オーブ,Сфера,
炎のオーブ,Огненная сфера,
クラウン,Корона,
竜王の冠,Корона дракона,
ティアラ,Тиара,
ホーリーリング,Святое кольцо,
力の指輪,Кольцо силы,
守りの指輪,Кольцо защиты,
精霊石の指輪,Кольцо камня духов,
聖王の護符,Оберег святого короля,
覇王の首飾り,Ожерелье владыки,
血の盟約,Кровавый договор,
ソニックバンド,Звуковой обруч,
スターピアス,Звёздная серьга,
クリスタルアンク,Хрустальный анкх,
ルーンストーン,Рунный камень,
ハーブローク,Травяной плащ,
ワセリン,Вазелин,
メギンギョルズ,Мегингьёрд,
フレイヤ,Фрейя,
アルテミスの弓,Лук Артемиды,
光のヴェール,Световая вуаль,
天使の羽根,Перо ангела,
ファイアーボール,Огненный шар,
ブリザード,Метель,
サンダー,Молния,
サンダーストーム,Гроза,
トルネード,Торнадо,
ウィンドカッター,Лезвие ветра,
アースクエイク,Землетрясение,
メテオ,Метеор,
ブラスト,Взрыв,
レーザー,Лазер,
フリーズ,Заморозка,
スリープ,Сон,
スロー,Замедление,
クイック,Ускорение,
ミュート,Немота,
バインド,Оковы,
コンフューズ,Смятение,
デクライン,Ослабление,
テレポート,Телепорт,
テレポート先,Точка переноса,
ヒーリング,Исцеление,
リジェネレート,Регенерация,
レジスト,Сопротивление,
ブレス,Благословение,
ターンアンデッド,Изгнание нежити,
デス,Смерть,
アゲイン,Повтор,
ゾーン,Зона,
クワイエト,Тишина,
ファイン,Очищение,
ホーリーブレイズ,Святое пламя,
HPドレイン,Кража HP,
MPドレイン,Кража MP,
クリティカル,Критический удар,
歩兵,Пехота,
不死歩兵,Нежить,
槍兵,Копейщики,
弓兵,Лучники,
弓騎兵,Конные лучники,
騎兵,Кавалерия,
重装騎兵,Тяжёлая кавалерия,
特殊騎兵,Особая кавалерия,
飛兵,Летучие войска,
飛弓兵,Летучие лучники,
対空飛兵,Воздушная гвардия,
水上兵,Морские войска,
通常水兵,Моряки,
上陸兵,Десант,
水上弓兵,Морские лучники,
機械弓兵,Баллиста,
僧侶,Монахи,
盗賊,Бандиты,
野伏,Следопыты,
退魔兵,Истребители нечисти,
神官戦士,Храмовники,
召喚術師,Призыватели,
魔術師,Маги,
剣聖,Мастер клинка,
勇者,Герой,
聖者,Мудрец,
魔動巨兵,Магитех,
魔動技師,Инженер,
総司令,Главнокомандующий,
巫女,Жрица,
混沌の王,Хаос,
光の女神,Луширис,
うみにん,Уминин,
忍術,Ниндзя,
駿足,Проворство,
怨霊,Дух мести,
精霊,Дух,
一般人,Житель,
一般兵,Рядовой,
伝令,Гонец,
傭兵,Наёмник,
傭兵混在,Смешанный отряд,
女傭兵,Наёмница,
司祭,Священник,
同盟軍司令,Командующий союзом,
同盟軍士官,Офицер союза,
同盟軍隊長,Капитан союза,
三国同盟軍司令,Командующий Тройственным союзом,
三国同盟軍士官,Офицер,
三国同盟軍隊長,Капитан Тройственного союза,
帝国軍司令,Имперский командующий,
帝国軍士官,Имперский офицер,
帝国軍隊長,Имперский капитан,
連邦軍司令官,Федеральный командующий,
連邦軍指揮官,Офицер,
連邦軍隊長,Федеральный капитан,
カコンシス軍,Армия Каконсиса,
カコンシス軍司令,Командующий Каконсиса,
カコンシス軍士官,Офицер,
カコンシス軍隊長,Капитан Каконсиса,
カルザス軍司令,Командир,
カルザス軍士官,Офицер,
カルザス軍隊長,Капитан Калзаса,
カルザス軍士,Солдат Калзаса,
サルラス軍兵士,Солдат,
サルラス軍陣営,Лагерь Салрата,
守備兵,Стражник,
看守,Тюремщик,
警備兵,Караульный,
護衛兵,Охранник,
輸送兵,Перевозчик,
徴税官,Сборщик,
村人,Селянин,
町人,Горожанин,
町長,Староста,
市民,Гражданин,
店員,Продавец,
売り子,Торговка,
子供,Ребёнок,
母親,Мать,
兄貴,Братан,
オバさま,Мадам,
神官,Священник,
執事,Дворецкий,
部下,Приспешник,
魔族,Демон,
ガーディアン,Страж,
制御プログラム,Контроль,
機械音,Машина,
マリー,Мари,
シゲマ,Сигема,
バルク,Балк,
ジークハルト,Зигхарт,
ラソフォード,Ласфорд,
アルフしッド,Альфсед,
アイゼル将軍,Айзель,
ウィラー提督,Уилер,
ギザロフ元帥,Гизароф,
ランフォード元帥,Ланфорд,
ランフォード将軍,Ланфорд,
セレナ将軍,Селена,
将軍エミリー,Эмили,
副官エミリー,Эмили,
宰相ラッセル,Рассел,
レナード公爵,Ленард,
クェイド侯爵,Куэйд,
ローゼンシル女王,Розенсиэль,
ギルモア新皇帝,Гилмор,
ランディウス大使,Ландиус,
ランディウス大公,Ландиус,
ゴルドリー隊長,Голдри,
ゴタール村村長,Староста,
クフィール団長,Кфир,
参謀ゼロ,Зеро,
執事マスターソン,Мастерсон,
大魔術師ジェシカ,Джессика,
変幻のフェラキア,Феракия,
死人使いグロブ,Гроув,
魔将軍ガイエル,Гайель,
闇の王子ボーゼル,Бёзер,
エストール大司教,Эстор,
大司教の娘,Девушка,
どく,Яд,
せきか,Окаменение,
まひ,Паралич,
かんせつ,Дальний бой,
マヒ攻撃,Парализующая атака,
毒攻撃,Ядовитая атака,
石化攻撃,Каменная атака,
炎攻撃,Огненная атака,
解毒能力,Противоядие,
スキル:なし,Навык: нет,
スキル:クリティカル,Навык: критический удар,
スキル:ヒーリング,Навык: исцеление,
スキル:マヒ攻撃,Навык: парализующая атака,
スキル:毒攻撃,Навык: ядовитая атака,
スキル:石化攻撃,Навык: каменная атака,
スキル:炎攻撃,Навык: огненная атака,
追加スキル:毒攻撃,Новый навык: ядовитая атака,
アタック,Атака,
ヒール,Лечение,
フォースヒール,Силовое лечение,
プロテクション,Защита,
判断上昇,Рост разума,
指揮能力上昇,Рост командования,
なし,Нет,
剣装備,Мечи,
金属鎧装備,Металлические доспехи,
魔術道具装備,Магические предметы,
敵からMPを奪う,Кража MP у врага,
アンジェリナ,Анджелина,
シェルファニール,Шелфаниэль,
ロックウェル,Рокуэлл,
ガイアナ,Гайана,
ガイアナ監督,Надзиратель Гайана,
サムソン,Самсон,
アドン,Адон,
バラン,Валан,
ガルツォーク,Галшок,
リベラリスト,Либералист,
クフィール,Кфир,
マリアンデール,Мариандель,
オメガ,Омега,
シグマ,Сигма,
ラムダ,Лямбда,
クラレット,Кларетт,
アルフレッド,Альфред,
ブレンダ,Бренда,
ランフォード,Ланфорд,
レインフォルス,Лейнфорс,
マクレーン,Макклейн,
ペイリア,Пелия,
アルヴィンス,Альвинс,
アイゼル,Айзель,
ランディウス,Ландиус,
ランベルト,Ламберт,
エミリー,Эмили,
ギザロフ,Гизароф,
ジェシカ,Джессика,
ローゼンシル,Розенсиэль,
ヴィラージュ,Вираш,
ウィラー,Уилер,
セレナ,Селена,
ボーゼル,Бёзер,
エリック,Эрик,
フェラキア,Феракия,
ガイエル,Гайель,
ゴルドリー,Голдри,
ゼロ,Зеро,
レナード,Ленард,
ギルモア,Гилмор,
クェイド,Куэйд,
マスターソン,Мастерсон,
ラッセル,Рассел,
オペレーター,Оператор,
アルハザード,Альхазард,
ラングリッサー,Лангриссер,
カルザス,Калзас,
サルラス,Салрат,
カコンシス,Каконсис,
